dataset,model,pred_method,size,mean,std
trec,llama-2-13b-hf,direct_False,1,0.218,0.01999999999999999
trec,llama-2-13b-hf,direct_False,2,0.357,0.035
trec,llama-2-13b-hf,direct_False,3,0.353,0.0010000000000000009
trec,llama-2-13b-hf,direct_False,4,0.463,0.07500000000000001
trec,llama-2-13b-hf,direct_False,5,0.45000000000000007,0.10800000000000001
trec,llama-65b,direct_False,1,0.334,0.12727922061357858
trec,llama-65b,direct_False,2,0.4206666666666667,0.08391000470080363
trec,llama-65b,direct_False,3,0.4593333333333333,0.02357022603955158
trec,llama-65b,direct_False,4,0.482,0.07071067811865474
trec,llama-65b,direct_False,5,0.4146666666666667,0.046197643037521094
trec,llama-65b,calibrate_True,1,0.37266666666666665,0.06274463235121304
trec,llama-65b,calibrate_True,2,0.5246666666666666,0.06727720432822859
trec,llama-65b,calibrate_True,3,0.5606666666666666,0.05228979080300688
trec,llama-65b,calibrate_True,4,0.5693333333333334,0.048780688346471236
trec,llama-65b,calibrate_True,5,0.5346666666666666,0.05060522590492891
trec,llama-65b,channel_True,1,0.3253333333333333,0.06932692278056356
trec,llama-65b,channel_True,2,0.47,0.018547236990991398
trec,llama-65b,channel_True,3,0.492,0.046072406781789345
trec,llama-65b,channel_True,4,0.5033333333333333,0.03242769735204085
trec,llama-65b,channel_True,5,0.5553333333333333,0.015520595635763723
sst2,falcon-7b,direct_False,1,0.879204892966361,0.018921053013401454
sst2,falcon-7b,direct_False,2,0.7530581039755351,0.01675864695472706
sst2,falcon-7b,direct_False,3,0.7878440366972477,0.06973759539225129
sst2,falcon-7b,direct_False,4,0.815749235474006,0.002703007573343042
sst2,falcon-7b,direct_False,5,0.8115443425076453,0.001081203029337196
sst2,falcon-7b,channel_True,1,0.8979357798165138,0.029192481792105183
sst2,falcon-7b,channel_True,2,0.9048165137614679,0.008109022720029233
sst2,falcon-7b,channel_True,3,0.9025229357798166,0.019461654528070103
sst2,falcon-7b,channel_True,4,0.9071100917431192,0.011352631808040924
sst2,falcon-7b,channel_True,5,0.9040519877675841,0.000540601514668598
sst2,falcon-7b,calibrate_True,1,0.9116972477064221,0.008109022720029233
sst2,falcon-7b,calibrate_True,2,0.9376911314984709,0.00864962423469783
sst2,falcon-7b,calibrate_True,3,0.9441896024464832,0.004324812117348941
sst2,falcon-7b,calibrate_True,4,0.9415137614678898,0.008109022720029233
sst2,falcon-7b,calibrate_True,5,0.9273700305810397,0.015136842410721213
sst2,falcon-1b,direct_False,1,0.7305045871559632,0.14422514892900215
sst2,falcon-1b,direct_False,2,0.7278287461773699,0.12464470356059891
sst2,falcon-1b,direct_False,3,0.7542048929663608,0.045025972879897805
sst2,falcon-1b,direct_False,4,0.7278287461773701,0.07936538413949175
sst2,falcon-1b,direct_False,5,0.7446483180428135,0.07491574570876972
sst2,falcon-1b,channel_True,1,0.8631498470948012,0.016118630460480125
sst2,falcon-1b,channel_True,2,0.8692660550458715,0.02213827558955699
sst2,falcon-1b,channel_True,3,0.8918195718654435,0.018593863160573862
sst2,falcon-1b,channel_True,4,0.8971712538226301,0.0028605943323959824
sst2,falcon-1b,channel_True,5,0.8914373088685016,0.011249188814649948
sst2,falcon-1b,calibrate_True,1,0.7729357798165137,0.10435779816513763
sst2,falcon-1b,calibrate_True,2,0.8881880733944953,0.0372706422018349
sst2,falcon-1b,calibrate_True,3,0.8732798165137614,0.06823394495412843
sst2,falcon-1b,calibrate_True,4,0.8950688073394495,0.04185779816513763
sst2,falcon-1b,calibrate_True,5,0.8864678899082569,0.014908256880733939
sst2,falcon-40b,direct_False,1,0.8340978593272171,0.1289252442969423
sst2,falcon-40b,direct_False,2,0.9166666666666666,0.021603778518264224
sst2,falcon-40b,direct_False,3,0.926987767584098,0.020649279565855494
sst2,falcon-40b,direct_False,4,0.9273700305810397,0.0014302971661979862
sst2,falcon-40b,direct_False,5,0.9319571865443425,0.008180785381893263
sst2,falcon-40b,channel_True,1,0.8031345565749235,0.06147426062806546
sst2,falcon-40b,channel_True,2,0.886467889908257,0.03000703655472531
sst2,falcon-40b,channel_True,3,0.9048165137614679,0.013108890060766243
sst2,falcon-40b,channel_True,4,0.9094036697247706,0.01103939531971991
sst2,falcon-40b,channel_True,5,0.9116972477064219,0.007069282113496547
sst2,falcon-40b,calibrate_True,1,0.9403669724770642,0.005733944954128434
sst2,falcon-40b,calibrate_True,2,0.9535550458715596,0.0017201834862385357
sst2,falcon-40b,calibrate_True,3,0.9535550458715596,0.0017201834862385357
sst2,falcon-40b,calibrate_True,4,0.955848623853211,0.0028669724770642446
sst2,falcon-40b,calibrate_True,5,0.9547018348623854,0.0005733944954128267
sst2,llama-2-7b-hf,calibrate_True,1,0.9094036697247707,0.020642201834862373
sst2,llama-2-7b-hf,calibrate_True,2,0.9099770642201834,0.02694954128440369
sst2,llama-2-7b-hf,calibrate_True,3,0.930045871559633,0.004587155963302725
sst2,llama-2-7b-hf,calibrate_True,4,0.9369266055045872,0.0
sst2,llama-2-7b-hf,calibrate_True,5,0.9380733944954128,0.0
sst2,llama-2-7b-hf,direct_False,1,0.8537844036697247,0.07396788990825687
sst2,llama-2-7b-hf,direct_False,2,0.9013761467889908,0.0
sst2,llama-2-7b-hf,direct_False,3,0.8944954128440367,0.01834862385321101
sst2,llama-2-7b-hf,direct_False,4,0.9013761467889908,0.0
sst2,llama-2-7b-hf,direct_False,5,0.908256880733945,0.0
sst2,llama-2-7b-hf,channel_True,1,0.8922018348623854,0.0
sst2,llama-2-7b-hf,channel_True,2,0.9128440366972477,0.0
sst2,llama-2-7b-hf,channel_True,3,0.9105504587155964,0.0
sst2,llama-2-7b-hf,channel_True,4,0.9139908256880734,0.0
sst2,llama-2-7b-hf,channel_True,5,,
sst2,llama-2-70b-hf,calibrate_True,1,0.922782874617737,0.02650601807853166
sst2,llama-2-70b-hf,calibrate_True,2,0.9323394495412844,0.015640116624983765
sst2,llama-2-70b-hf,calibrate_True,3,0.9308103975535168,0.027078686159670993
sst2,llama-2-70b-hf,calibrate_True,4,0.9308103975535168,0.036232402480344914
sst2,llama-2-70b-hf,calibrate_True,5,0.9376911314984709,0.02650601807853166
sst2,llama-2-70b-hf,direct_False,1,0.8971712538226301,0.07568421205360601
sst2,llama-2-70b-hf,direct_False,2,0.9147553516819572,0.018380451498732856
sst2,llama-2-70b-hf,direct_False,3,0.8669724770642202,0.11352631808040903
sst2,llama-2-70b-hf,direct_False,4,0.9189602446483182,0.015677443925389813
sst2,llama-2-70b-hf,direct_False,5,0.9545107033639143,0.01243383483737812
sst2,llama-2-70b-hf,channel_True,1,0.8532110091743119,0.06307339449541283
sst2,llama-2-70b-hf,channel_True,2,0.900802752293578,0.02580275229357798
sst2,llama-2-70b-hf,channel_True,3,0.893348623853211,0.017201834862385357
sst2,llama-2-70b-hf,channel_True,4,0.9030963302752294,0.007454128440366969
sst2,llama-2-70b-hf,channel_True,5,0.9174311926605505,0.009174311926605505
sst2,llama-2-13b-hf,calibrate_True,1,0.8306574923547401,0.11788088432325566
sst2,llama-2-13b-hf,calibrate_True,2,0.9078746177370031,0.04192015310016896
sst2,llama-2-13b-hf,calibrate_True,3,0.893730886850153,0.08542017145632029
sst2,llama-2-13b-hf,calibrate_True,4,0.9174311926605504,0.050493454819444575
sst2,llama-2-13b-hf,calibrate_True,5,0.9304281345565749,0.030504491350550486
sst2,llama-2-13b-hf,direct_False,1,0.7897553516819572,0.13580077909373417
sst2,llama-2-13b-hf,direct_False,2,0.7687308868501529,0.1408679340419593
sst2,llama-2-13b-hf,direct_False,3,0.7996941896024466,0.16034918940956672
sst2,llama-2-13b-hf,direct_False,4,0.8528287461773701,0.045123228316590484
sst2,llama-2-13b-hf,direct_False,5,0.8516819571865444,0.08700158009740858
sst2,llama-2-13b-hf,channel_True,1,0.7201834862385321,0.13016265541414507
sst2,llama-2-13b-hf,channel_True,2,0.8363914373088684,0.09721963368778318
sst2,llama-2-13b-hf,channel_True,3,0.867354740061162,0.046820585563004884
sst2,llama-2-13b-hf,channel_True,4,0.8772935779816513,0.04167543324436188
sst2,llama-2-13b-hf,channel_True,5,0.9021406727828746,0.020881498904812924
